Club,Temporada,Competición,Partidos,lleno,espectadores,promedio
Unión,15/16,Primera División,8,0,102.0,20.4
Unión,14/15,Primera División,15,0,116.0,16.571
Unión,13/14,Primera B Nacional,5,0,39.5,13.167
Unión,12/13,Torneo Inicial,19,0,74.0,18.5
Unión,11/12,Torneo Apertura,19,1,75.0,18.75
Unión,10/11,Primera B Nacional,17,0,34.8,11.6
Unión,09/10,Primera B Nacional,19,0,12.3,12.3
Unión,08/09,Primera B Nacional,2,0,0.0,0.0
Unión,02/03,Torneo Apertura,19,0,172.0,11.467
Unión,01/02,Torneo Apertura,19,0,156.0,9.176
Unión,00/01,Torneo Clausura,19,0,17.5,17.5
Unión,99/00,Torneo Apertura,15,0,72.315,5.165
Unión,98/99,Torneo Apertura,1,0,0.0,0.0
Lanús,25/26,Torneo Apertura,4,0,0.0,0.0
Lanús,24/25,Torneo Apertura,16,0,0.0,0.0
Lanús,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),21,0,187.455,9.373
Lanús,22/23,Liga Profesional de Fútbol (- 23/24),20,0,76.37,25.457
Lanús,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),20,0,0.0,0.0
Lanús,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,0,76.0,12.667
Lanús,19/20,Superliga Argentina,14,0,0.0,0.0
Lanús,18/19,Superliga Argentina,13,0,148.0,11.385
Lanús,17/18,Superliga Argentina,13,0,22.5,7.5
Lanús,16/17,Primera División,15,0,35.0,17.5
Lanús,15/16,Primera División,8,0,52.0,13.0
Lanús,14/15,Torneo de Transición,25,0,105.5,11.722
Lanús,13/14,Torneo Inicial,19,0,159.0,9.938
Lanús,12/13,Torneo Inicial,19,0,74.0,12.333
Lanús,11/12,Torneo Apertura,19,0,31.0,10.333
Lanús,10/11,Torneo Apertura,19,0,190.0,19.0
Lanús,09/10,Torneo Apertura,19,0,290.2,15.274
Lanús,08/09,Torneo Apertura,19,0,355.5,18.711
Lanús,07/08,Torneo Apertura,19,0,360.5,18.974
Lanús,06/07,Torneo Apertura,19,0,216.0,14.4
Lanús,05/06,Torneo Apertura,19,0,255.5,13.447
Lanús,04/05,Torneo Apertura,19,0,205.8,15.831
Lanús,03/04,Torneo Clausura,19,0,122.221,12.222
Lanús,02/03,Torneo Clausura,19,0,171.5,10.088
Lanús,01/02,Torneo Clausura,19,0,129.45,8.091
Lanús,00/01,Torneo Clausura,19,0,0.0,0.0
Lanús,99/00,Torneo Apertura,15,0,36.955,3.08
Lanús,98/99,Torneo Clausura,1,0,0.0,0.0
Godoy Cruz,25/26,Derde Divisie B,14,0,611.0,611.0
Godoy Cruz,24/25,Derde Divisie B,17,0,1.823,608.0
Godoy Cruz,23/24,Betnation Divisie,17,0,5.744,479.0
Godoy Cruz,22/23,Jack's League,17,0,11.0,846.0
Godoy Cruz,21/22,Derde Divisie Sábado,17,0,4.75,679.0
Godoy Cruz,20/21,Derde Divisie Sábado,2,0,0.0,0.0
Godoy Cruz,19/20,Derde Divisie Sábado,11,0,0.0,0.0
Godoy Cruz,18/19,Derde Divisie Sábado,17,0,11.25,750.0
Godoy Cruz,17/18,Tweede Divisie,17,0,15.45,909.0
Godoy Cruz,16/17,Derde Divisie Sábado,17,0,11.7,975.0
Godoy Cruz,15/16,Topklasse Sábado,15,0,12.997,866.0
Godoy Cruz,14/15,Topklasse Sábado,15,0,11.1,740.0
Godoy Cruz,13/14,Topklasse Sábado,13,0,11.2,933.0
Godoy Cruz,12/13,Topklasse Sábado,2,0,1.8,900.0
Godoy Cruz,10/11,Topklasse Sábado,3,0,3.1,1.033
Talleres-C,23/24,Landesliga Hammonia,15,0,0,0.0
Talleres-C,22/23,Landesliga Hammonia,14,0,0,0.0
Talleres-C,15/16,Landesliga Hansa,13,0,838,140.0
Arg Juniors,25/26,Torneo Apertura,6,0,0.0,0.0
Arg Juniors,24/25,Torneo Apertura,16,0,0.0,0.0
Arg Juniors,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),21,1,343.893,16.376
Arg Juniors,22/23,Liga Profesional de Fútbol (- 23/24),20,0,72.2,12.033
Arg Juniors,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),21,0,0.0,0.0
Arg Juniors,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,0,36.5,7.3
Arg Juniors,19/20,Superliga Argentina,15,0,118.5,9.875
Arg Juniors,18/19,Superliga Argentina,12,0,100.0,8.333
Arg Juniors,17/18,Superliga Argentina,14,0,109.5,7.821
Arg Juniors,16/17,Primera B Nacional,22,0,111.0,5.045
Arg Juniors,15/16,Primera División,8,0,57.0,7.125
Arg Juniors,14/15,Primera División,15,0,114.5,8.179
Arg Juniors,13/14,Torneo Inicial,19,0,140.0,7.368
Arg Juniors,12/13,Torneo Inicial,19,0,208.5,10.974
Arg Juniors,11/12,Torneo Apertura,19,0,164.5,9.139
Arg Juniors,10/11,Torneo Apertura,19,0,211.9,11.153
Arg Juniors,09/10,Torneo Apertura,19,0,226.0,11.895
Arg Juniors,08/09,Torneo Apertura,19,0,216.5,11.395
Arg Juniors,07/08,Torneo Apertura,19,0,210.0,11.053
Arg Juniors,06/07,Torneo Apertura,19,0,226.5,11.921
Arg Juniors,05/06,Torneo Apertura,19,1,222.5,11.711
Arg Juniors,04/05,Torneo Clausura,19,0,141.0,15.667
Arg Juniors,01/02,Torneo Clausura,19,0,115.3,7.687
Arg Juniors,00/01,Torneo Clausura,19,0,27.355,4.559
Arg Juniors,99/00,Torneo Apertura,16,0,39.269,3.57
Arg Juniors,98/99,Torneo Apertura,1,0,0.0,0.0
Colón,25/26,Primera Nacional,3,0,0.0,0.0
Colón,24/25,Primera Nacional,17,1,151.56,37.89
Colón,23/24,Primera Nacional,19,10,741.2,39.011
Colón,22/23,Liga Profesional de Fútbol (- 23/24),21,0,279.6,34.95
Colón,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),21,0,0.0,0.0
Colón,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,0,100.0,20.0
Colón,19/20,Superliga Argentina,15,0,25.0,25.0
Colón,18/19,Superliga Argentina,12,0,245.0,20.417
Colón,17/18,Superliga Argentina,14,0,32.0,16.0
Colón,16/17,Primera División,15,0,25.0,25.0
Colón,15/16,Primera División,8,0,194.8,27.829
Colón,14/15,Primera División,15,0,139.0,23.167
Colón,13/14,Torneo Inicial,19,0,280.0,17.5
Colón,12/13,Torneo Inicial,19,0,187.0,23.375
Colón,11/12,Torneo Apertura,19,1,77.5,25.833
Colón,10/11,Torneo Apertura,19,0,367.0,19.316
Colón,09/10,Torneo Apertura,19,1,423.8,22.305
Colón,08/09,Torneo Apertura,19,0,416.0,21.895
Colón,07/08,Torneo Apertura,19,0,335.0,18.611
Colón,06/07,Torneo Apertura,19,0,286.7,20.479
Colón,05/06,Torneo Apertura,19,0,340.2,17.905
Colón,04/05,Torneo Clausura,19,0,140.0,17.5
Colón,03/04,Torneo Clausura,19,0,170.5,17.05
Colón,02/03,Torneo Clausura,19,0,214.0,15.286
Colón,01/02,Torneo Clausura,19,0,230.0,15.333
Colón,00/01,Torneo Apertura,19,0,0.0,0.0
Colón,99/00,Torneo Clausura,15,0,51.363,4.28
Colón,98/99,Torneo Apertura,2,0,4.778,4.778
Colón,97/98,Torneo Clausura,1,0,0.0,0.0
Belgrano,25/26,Torneo Apertura,5,0,0.0,0.0
Belgrano,24/25,Torneo Apertura,16,0,0.0,0.0
Belgrano,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),21,12,754.465,35.927
Belgrano,22/23,Liga Profesional de Fútbol (- 23/24),20,0,368.614,36.861
Belgrano,21/22,Primera Nacional,18,2,0.0,0.0
Belgrano,20/21,Primera Nacional,16,0,15.0,15.0
Belgrano,19/20,Primera Nacional,11,0,0.0,0.0
Belgrano,18/19,Superliga Argentina,13,3,297.576,22.89
Belgrano,17/18,Superliga Argentina,13,0,25.0,25.0
Belgrano,16/17,Primera División,15,0,46.0,23.0
Belgrano,15/16,Primera División,8,0,67.96,22.653
Belgrano,14/15,Torneo de Transición,25,0,317.0,26.417
Belgrano,13/14,Torneo Inicial,19,3,435.0,25.588
Belgrano,12/13,Torneo Inicial,19,2,180.878,36.176
Belgrano,11/12,Torneo Apertura,19,1,91.0,30.333
Belgrano,10/11,Primera B Nacional,16,0,43.0,14.333
Belgrano,09/10,Primera B Nacional,19,0,0.0,0.0
Belgrano,08/09,Primera B Nacional,2,0,22.15,22.15
Belgrano,06/07,Torneo Apertura,19,0,404.0,25.25
Belgrano,01/02,Torneo Clausura,19,0,191.5,11.969
Belgrano,00/01,Torneo Clausura,19,0,11.0,11.0
Belgrano,99/00,Torneo Clausura,13,0,97.801,8.15
Belgrano,98/99,Torneo Apertura,1,0,0.0,0.0
Aldosivi,16/17,Verbandsliga Schleswig-Holstein - Nord-Ost,2,0,198,99.0
Cen. Córdoba-SdE,24/25,Prva HNL - Juniori,6,0,450.0,75.0
Cen. Córdoba-SdE,23/24,Prva HNL - Juniori,3,0,250.0,83.0
Cen. Córdoba-SdE,22/23,Prva HNL - Juniori,13,0,1.72,132.0
Cen. Córdoba-SdE,21/22,Prva HNL - Juniori,15,0,240.0,60.0
Arsenal,25/26,League Two,20,0,44.945,2.247
Arsenal,24/25,League Two,23,0,58.389,2.539
Arsenal,23/24,League Two,23,0,62.23,2.706
Arsenal,22/23,League One,23,0,68.716,2.988
Arsenal,21/22,League One,23,0,67.04,2.915
Arsenal,20/21,League One,23,0,0.0,0.0
Arsenal,19/20,League One,17,0,48.659,2.862
Arsenal,18/19,League One,23,0,63.571,2.764
Arsenal,17/18,League Two,23,0,45.513,1.979
Arsenal,16/17,League Two,23,0,39.085,1.699
Arsenal,15/16,League Two,23,0,42.188,1.834
Arsenal,14/15,League Two,23,0,34.005,1.478
Arsenal,13/14,League Two,23,0,36.928,1.606
Arsenal,12/13,League Two,23,0,38.516,1.675
Arsenal,11/12,League Two,23,0,41.045,1.785
Arsenal,10/11,League Two,23,0,42.957,1.868
Arsenal,09/10,League Two,23,0,45.548,1.98
Arsenal,08/09,League Two,23,0,32.515,1.414
Arsenal,07/08,League Two,23,0,37.58,1.634
Arsenal,06/07,League Two,23,0,51.984,2.26
Arsenal,05/06,Conference Premier,4,0,6.452,1.613
Sarmiento-J,25/26,Torneo Apertura,6,0,0.0,0.0
Sarmiento-J,24/25,Torneo Apertura,16,0,6.22,3.11
Sarmiento-J,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),21,0,126.757,6.036
Sarmiento-J,22/23,Liga Profesional de Fútbol (- 23/24),20,1,27.2,13.6
Sarmiento-J,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),20,1,0.0,0.0
Sarmiento-J,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,0,18.5,4.625
Sarmiento-J,19/20,Primera Nacional,10,0,0.0,0.0
Sarmiento-J,18/19,Primera B Nacional,12,0,0.0,0.0
Sarmiento-J,17/18,Primera B Nacional,12,0,0.0,0.0
Sarmiento-J,16/17,Primera División,15,0,11.0,5.5
Sarmiento-J,15/16,Primera División,8,0,29.2,7.3
Sarmiento-J,14/15,Primera División,15,0,85.0,10.625
Sarmiento-J,13/14,Primera B Nacional,6,0,14.2,4.733
Sarmiento-J,12/13,Primera B Nacional,7,0,34.82,8.705
Platense,25/26,Torneo Apertura,6,0,0.0,0.0
Platense,24/25,Torneo Apertura,16,0,0.0,0.0
Platense,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),21,1,335.833,15.992
Platense,22/23,Liga Profesional de Fútbol (- 23/24),20,0,139.752,23.292
Platense,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),20,0,0.0,0.0
Platense,20/21,Primera Nacional,16,0,15.0,15.0
Platense,19/20,Primera Nacional,11,0,22.0,22.0
Platense,18/19,Superliga Argentina,12,0,162.0,13.5
Platense,17/18,Superliga Argentina,14,0,16.5,8.25
Platense,16/17,Primera División,15,0,16.0,8.0
Platense,15/16,Primera División,8,0,27.0,5.4
Platense,14/15,Torneo de Transición,25,0,87.5,10.938
Platense,13/14,Torneo Inicial,19,0,146.0,8.111
Platense,12/13,Torneo Inicial,19,0,36.0,12.0
Platense,11/12,Torneo Apertura,19,0,91.0,15.167
Platense,10/11,Torneo Apertura,19,0,167.35,16.735
Platense,09/10,Torneo Apertura,19,0,282.4,14.863
Platense,08/09,Torneo Apertura,19,0,280.5,16.5
Platense,07/08,Torneo Apertura,19,0,341.0,18.944
Instituto,25/26,Mittelrheinliga,9,0,1.13,126.0
Instituto,24/25,Mittelrheinliga,15,0,2.528,169.0
Instituto,23/24,Mittelrheinliga,15,0,2.066,138.0
Instituto,22/23,Mittelrheinliga,15,0,1.982,132.0
Instituto,21/22,Mittelrheinliga,17,0,1.863,116.0
Instituto,20/21,Regionalliga West,20,4,1.775,296.0
Instituto,19/20,Regionalliga West,10,0,5.25,525.0
Instituto,18/19,Mittelrheinliga,14,0,2.488,178.0
Instituto,17/18,Mittelrheinliga,15,0,1.81,129.0
Instituto,16/17,Mittelrheinliga,15,0,2.771,185.0
Instituto,15/16,Mittelrheinliga,15,0,4.444,296.0
Instituto,14/15,Mittelrheinliga,15,0,2.853,190.0
Instituto,13/14,Mittelrheinliga,15,0,5.056,337.0
Instituto,12/13,Regionalliga West,19,0,11.01,579.0
Instituto,11/12,NRW-Liga (- 11/12),17,0,6.871,404.0
Instituto,10/11,NRW-Liga (- 11/12),17,0,5.437,320.0
Instituto,09/10,NRW-Liga (- 11/12),18,0,5.787,322.0
Instituto,07/08,Oberliga Nordrhein (94/95 - 07/08),17,0,5.74,338.0
Instituto,06/07,Oberliga Nordrhein (94/95 - 07/08),17,0,10.415,613.0
Instituto,03/04,Oberliga Nordrhein (94/95 - 07/08),17,0,10.283,605.0
Instituto,87/88,Oberliga Nordrhein (- 93/94),6,0,2.05,342.0
Ind. Rivadavia,23/24,Landesliga Lüneburg,17,0,629.0,315.0
Ind. Rivadavia,22/23,Landesliga Lüneburg,17,0,626.0,209.0
Ind. Rivadavia,21/22,Landesliga Lüneburg,7,0,172.0,172.0
Ind. Rivadavia,20/21,Landesliga Lüneburg,2,0,0.0,0.0
Ind. Rivadavia,19/20,Landesliga Lüneburg,9,0,0.0,0.0
Ind. Rivadavia,18/19,Landesliga Lüneburg,15,0,0.0,0.0
Ind. Rivadavia,17/18,Landesliga Lüneburg,15,0,937.0,469.0
Ind. Rivadavia,16/17,Landesliga Lüneburg,15,0,1.586,793.0
Ind. Rivadavia,15/16,Oberliga Niedersachsen,15,0,2.456,164.0
Ind. Rivadavia,14/15,Oberliga Niedersachsen,15,0,4.252,283.0
Ind. Rivadavia,10/11,Oberliga Niedersachsen,19,0,6.42,338.0
Atlético Rafaela,25/26,Partidos amistosos,2,0,5.0,5.0
Atlético Rafaela,23/24,Partidos amistosos,6,0,115.35,57.675
Atlético Rafaela,22/23,Partidos amistosos,3,0,0.0,0.0
Atlético Rafaela,21/22,Partidos amistosos,1,0,0.0,0.0
Atlético Rafaela,19/20,Partidos amistosos,1,0,0.0,0.0
Atlético Rafaela,18/19,Partidos amistosos,2,0,0.0,0.0
Atlético Rafaela,17/18,Partidos amistosos,3,0,2.0,2.0
Atlético Rafaela,16/17,Partidos amistosos,3,0,37.0,12.333
Atlético Rafaela,15/16,Partidos amistosos,4,0,9.0,4.5
Atlético Rafaela,14/15,Partidos amistosos,3,0,0.0,0.0
Atlético Rafaela,13/14,Partidos amistosos,1,0,0.0,0.0
Atlético Rafaela,12/13,Partidos amistosos,3,0,40.0,40.0
Atlético Rafaela,11/12,Partidos amistosos,9,0,500.0,500.0
Atlético Rafaela,10/11,Partidos amistosos,7,0,35.0,35.0
Atlético Rafaela,09/10,Partidos amistosos,5,0,10.0,10.0
Atlético Rafaela,08/09,Partidos amistosos,3,0,15.0,7.5
Atlético Rafaela,07/08,Partidos amistosos,4,0,45.0,45.0
Atlético Rafaela,06/07,Partidos amistosos,3,0,42.0,14.0
Atlético Rafaela,05/06,Partidos amistosos,5,0,20.0,20.0
Atlético Rafaela,04/05,Partidos amistosos,3,0,5.0,5.0
Atlético Rafaela,03/04,Partidos amistosos,9,0,15.0,15.0
Atlético Rafaela,02/03,Partidos amistosos,3,0,30.0,30.0
Atlético Rafaela,01/02,Partidos amistosos,2,0,0.0,0.0
Atlético Rafaela,00/01,Partidos amistosos,6,0,70.0,23.333
Atlético Rafaela,99/00,Partidos amistosos,4,0,10.0,10.0
Atlético Rafaela,98/99,Partidos amistosos,3,0,25.0,25.0
Atlético Rafaela,97/98,Partidos amistosos,3,0,60.0,30.0
Atlético Rafaela,96/97,Partidos amistosos,2,0,10.0,10.0
Atlético Rafaela,95/96,Partidos amistosos,3,0,0.0,0.0
Atlético Rafaela,94/95,Partidos amistosos,1,0,0.0,0.0
Atlético Rafaela,93/94,Partidos amistosos,2,0,7.0,3.5
Atlético Rafaela,91/92,Partidos amistosos,6,0,93.872,15.645
Atlético Rafaela,90/91,Partidos amistosos,2,0,500.0,500.0
Atlético Rafaela,89/90,Partidos amistosos,4,0,106.0,26.5
Atlético Rafaela,88/89,Partidos amistosos,5,0,65.0,21.667
Atlético Rafaela,87/88,Partidos amistosos,4,0,71.0,17.75
Atlético Rafaela,86/87,Partidos amistosos,1,0,0.0,0.0
Atlético Rafaela,85/86,Partidos amistosos,4,0,50.0,25.0
Atlético Rafaela,84/85,Partidos amistosos,2,0,18.0,9.0
Atlético Rafaela,83/84,Partidos amistosos,2,0,12.0,6.0
Atlético Rafaela,69/70,Partidos amistosos,1,0,20.0,20.0
Atlético Rafaela,65/66,Partidos amistosos,1,0,25.0,25.0
Atlético Rafaela,63/64,Partidos amistosos,2,0,0.0,0.0
Atlético Rafaela,62/63,Partidos amistosos,1,0,30.0,30.0
Atlético Rafaela,61/62,Partidos amistosos,1,0,35.0,35.0
Atlético Rafaela,60/61,Partidos amistosos,1,0,50.0,50.0
Atlético Rafaela,59/60,Partidos amistosos,4,0,0.0,0.0
Atlético Rafaela,58/59,Partidos amistosos,1,0,0.0,0.0
Atlético Rafaela,56/57,Partidos amistosos,1,0,20.0,20.0
Atlético Rafaela,55/56,Partidos amistosos,1,0,15.0,15.0
Atlético Rafaela,54/55,Partidos amistosos,2,0,50.0,25.0
Atlético Rafaela,53/54,Partidos amistosos,1,0,28.0,28.0
Atlético Rafaela,52/53,Partidos amistosos,1,0,25.0,25.0
Atlético Rafaela,51/52,Partidos amistosos,1,0,20.0,20.0
Atlético Rafaela,48/49,Partidos amistosos,3,0,40.0,13.333
Atlético Rafaela,35/36,Partidos amistosos,1,0,10.0,10.0
Atlético Rafaela,1923/24,Partidos amistosos,1,0,1.0,1.0
Atlético Rafaela,1920/21,Partidos amistosos,1,0,5.0,5.0
