Club,Temporada,Competición,Partidos,lleno,espectadores,promedio
Banfield,24/25,Torneo Apertura,16,0,25.2,25.2
Banfield,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),20,1,427.961,21.398
Banfield,22/23,Liga Profesional de Fútbol (- 23/24),21,0,112.431,16.062
Banfield,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),21,0,0.0,0.0
Banfield,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,0,71.0,14.2
Banfield,19/20,Superliga Argentina,15,0,0.0,0.0
Banfield,18/19,Superliga Argentina,12,0,140.0,11.667
Banfield,17/18,Superliga Argentina,14,0,19.0,9.5
Banfield,16/17,Primera División,15,0,6.0,6.0
Banfield,15/16,Primera División,8,0,56.0,14.0
Banfield,14/15,Torneo de Transición,24,0,181.0,15.083
Banfield,13/14,Primera B Nacional,9,0,77.8,12.967
Banfield,12/13,Primera B Nacional,5,0,41.0,10.25
Banfield,11/12,Torneo Apertura,19,0,50.0,12.5
Banfield,10/11,Torneo Apertura,19,0,223.3,15.95
Banfield,09/10,Torneo Apertura,19,0,328.5,17.289
Banfield,08/09,Torneo Apertura,19,0,278.5,14.658
Banfield,07/08,Torneo Apertura,19,0,245.0,12.895
Banfield,06/07,Torneo Apertura,19,0,187.5,12.5
Banfield,05/06,Torneo Apertura,19,0,254.0,13.368
Banfield,04/05,Torneo Clausura,19,0,131.0,13.1
Banfield,03/04,Torneo Clausura,19,0,149.0,13.545
Banfield,02/03,Torneo Clausura,19,0,184.5,12.3
Banfield,01/02,Torneo Apertura,19,0,207.8,12.224
Atlé Tucumán,25/26,Keuken Kampioen Divisie,16,0,38.482,2.405
Atlé Tucumán,24/25,Keuken Kampioen Divisie,19,0,53.393,2.81
Atlé Tucumán,23/24,Keuken Kampioen Divisie,19,1,53.603,2.821
Atlé Tucumán,22/23,Keuken Kampioen Divisie,19,0,36.264,1.909
Atlé Tucumán,21/22,Keuken Kampioen Divisie,19,0,24.278,1.619
Atlé Tucumán,20/21,Keuken Kampioen Divisie,19,3,2.205,735.0
Atlé Tucumán,19/20,Keuken Kampioen Divisie,14,0,23.94,1.71
Atlé Tucumán,18/19,Keuken Kampioen Divisie,19,0,33.579,1.767
Atlé Tucumán,17/18,Jupiler League,19,0,29.31,1.543
Atlé Tucumán,16/17,Jupiler League,19,0,29.045,1.529
Atlé Tucumán,15/16,Jupiler League,18,0,35.283,1.96
Atlé Tucumán,14/15,Eredivisie,17,4,65.861,3.874
Atlé Tucumán,13/14,Jupiler League,19,0,55.307,2.911
Atlé Tucumán,12/13,Jupiler League,17,0,39.228,2.308
Atlé Tucumán,11/12,Jupiler League,17,0,37.611,2.212
Atlé Tucumán,10/11,Jupiler League,17,0,35.734,2.102
Atlé Tucumán,09/10,Jupiler League,18,0,37.19,2.066
Atlé Tucumán,08/09,Jupiler League,19,0,44.645,2.35
Atlé Tucumán,07/08,Jupiler League,19,0,39.546,2.081
Atlé Tucumán,06/07,Jupiler League,19,0,43.519,2.29
Atlé Tucumán,05/06,Eerste Divisie,19,0,28.145,1.481
Atlé Tucumán,04/05,Eerste Divisie,18,0,33.886,1.883
Atlé Tucumán,03/04,Eerste Divisie,18,0,24.321,1.351
Atlé Tucumán,02/03,Eerste Divisie,17,0,26.18,1.54
Atlé Tucumán,01/02,Eerste Divisie,17,0,24.35,1.432
Atlé Tucumán,00/01,Eerste Divisie,17,0,27.81,1.636
Atlé Tucumán,99/00,Eerste Divisie,17,0,26.6,1.565
Atlé Tucumán,98/99,Eerste Divisie,17,0,22.15,1.303
Atlé Tucumán,97/98,Eerste Divisie,2,0,3.062,1.531
Atlé Tucumán,96/97,Eerste Divisie,1,0,1.4,1.4
Atlé Tucumán,94/95,PTT Telecompetitie,17,0,47.014,2.766
Atlé Tucumán,93/94,Eerste Divisie,17,0,39.299,2.312
Atlé Tucumán,92/93,PTT Telecompetitie,17,0,36.845,2.167
Atlé Tucumán,91/92,PTT Telecompetitie,17,0,38.366,2.257
Atlé Tucumán,90/91,Eerste Divisie,19,0,32.61,1.716
Atlé Tucumán,89/90,Eerste Divisie,9,0,11.485,1.276
Atlé Tucumán,88/89,Eerste Divisie,2,0,775.0,388.0
Atlé Tucumán,87/88,Eredivisie,17,0,38.548,2.268
Atlé Tucumán,86/87,Eerste Divisie,18,0,33.35,1.853
Atlé Tucumán,85/86,Eerste Divisie,18,0,16.765,931.0
Atlé Tucumán,84/85,Eerste Divisie,17,0,20.9,1.229
Atlé Tucumán,83/84,Eredivisie,17,0,62.7,3.688
Atlé Tucumán,82/83,Eerste Divisie,15,0,64.3,4.287
Atlé Tucumán,81/82,Eerste Divisie,17,0,45.45,2.674
Atlé Tucumán,80/81,Eerste Divisie,18,0,90.0,5.0
Atlé Tucumán,79/80,Eerste Divisie,18,0,119.0,6.611
Atlé Tucumán,78/79,Eerste Divisie,18,0,22.3,1.239
Atlé Tucumán,77/78,Eerste Divisie,18,0,24.05,1.336
Atlé Tucumán,76/77,Eerste Divisie,18,0,29.8,1.656
Atlé Tucumán,75/76,Eerste Divisie,18,0,44.5,2.472
Atlé Tucumán,74/75,Eerste Divisie,18,0,32.8,1.822
Atlé Tucumán,73/74,Eerste Divisie,19,0,63.0,3.316
Atlé Tucumán,72/73,Eerste Divisie,19,0,53.1,2.795
Huracán,25/26,Torneo Apertura,6,0,0.0,0.0
Huracán,24/25,Torneo Apertura,16,0,0.0,0.0
Huracán,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),21,0,576.202,27.438
Huracán,22/23,Liga Profesional de Fútbol (- 23/24),20,0,105.1,17.517
Huracán,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),20,0,0.0,0.0
Huracán,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,0,102.0,17.0
Huracán,19/20,Superliga Argentina,14,0,15.0,15.0
Huracán,18/19,Superliga Argentina,13,0,230.0,17.692
Huracán,17/18,Superliga Argentina,13,0,46.0,15.333
Huracán,16/17,Primera División,15,0,15.0,15.0
Huracán,15/16,Primera División,8,0,91.0,15.167
Huracán,14/15,Primera División,15,0,75.0,18.75
Huracán,13/14,Primera B Nacional,5,0,40.5,13.5
Huracán,12/13,Primera B Nacional,6,0,37.5,9.375
Huracán,11/12,Primera B Nacional,19,0,202.68,14.477
Huracán,10/11,Torneo Apertura,19,0,257.0,16.063
Huracán,09/10,Torneo Apertura,19,0,350.0,18.421
Huracán,08/09,Torneo Apertura,19,0,365.5,21.5
Huracán,07/08,Torneo Apertura,19,0,318.0,17.667
Huracán,02/03,Torneo Apertura,19,0,186.685,13.335
Huracán,01/02,Torneo Apertura,19,0,217.65,13.603
Huracán,00/01,Torneo Clausura,19,0,10.5,10.5
Huracán,98/99,Torneo Clausura,1,0,0.0,0.0
Newell's Old Boys,25/26,Torneo Apertura,6,0,0.0,0.0
Newell's Old Boys,24/25,Torneo Apertura,16,1,42.0,42.0
Newell's Old Boys,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),21,14,877.665,41.794
Newell's Old Boys,22/23,Liga Profesional de Fútbol (- 23/24),20,1,546.0,42.0
Newell's Old Boys,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),20,0,0.0,0.0
Newell's Old Boys,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,0,134.0,22.333
Newell's Old Boys,19/20,Superliga Argentina,15,0,0.0,0.0
Newell's Old Boys,18/19,Superliga Argentina,12,0,344.0,28.667
Newell's Old Boys,17/18,Superliga Argentina,14,0,40.0,20.0
Newell's Old Boys,16/17,Primera División,15,0,52.6,26.3
Newell's Old Boys,15/16,Primera División,8,2,142.0,35.5
Newell's Old Boys,14/15,Torneo de Transición,25,0,462.0,38.5
Newell's Old Boys,13/14,Torneo Inicial,19,0,636.0,37.412
Newell's Old Boys,12/13,Torneo Inicial,19,0,187.0,37.4
Newell's Old Boys,11/12,Torneo Apertura,19,0,96.0,32.0
