torneo,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,faltas_local,tiro_esquina_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,faltas_visitante,tiro_esquina_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,Valor_Local_USD_M,Valor_Visitante_USD_M,resultado
Campeonato 2015,12,San Martin (San Juan),Atletico de Rafaela,1,1,,,,,,,,,,,,,,,11.25,17.075,E
Campeonato 2015,13,Independiente,Boca Juniors,1,1,,,,,,,,,,,,,,,33.525,80.925,E
Campeonato 2015,14,Sarmiento,Gimnasia y Esgrima La Plata,0,0,,,,,,,,,,,,,,,8.975,14.3,E
Campeonato 2015,15,Defensa y Justicia,Colon,2,3,,,,,,,,,,,,,,,12.05,12.125,V
Campeonato 2015,1,Gimnasia y Esgrima La Plata,Quilmes,3,2,,,,,,,,,,,,,,,14.3,16.975,L
Campeonato 2015,2,Crucero del Norte,Defensa y Justicia,3,1,,,,,,,,,,,,,,,4.4,12.05,L
Campeonato 2015,3,Temperley,Huracan,0,0,,,,,,,,,,,,,,,5.3,13.775,E
Campeonato 2015,4,Arsenal de Sarandi,Union,1,1,,,,,,,,,,,,,,,27.25,7.95,E
Campeonato 2015,5,Rosario Central,Lanus,1,1,,,,,,,,,,,,,,,18.35,30.62,E
Campeonato 2015,6,Colon,San Martin (San Juan),2,2,,,,,,,,,,,,,,,12.125,11.25,E
Campeonato 2015,7,Banfield,Velez Sarsfield,1,3,,,,,,,,,,,,,,,22.925,28.5,V
Campeonato 2015,8,Olimpo,Nueva Chicago,0,0,,,,,,,,,,,,,,,12.97,8.15,E
Campeonato 2015,9,San Lorenzo de Almagro,Sarmiento,3,0,,,,,,,,,,,,,,,39.725,8.975,L
Campeonato 2015,10,Atletico de Rafaela,Estudiantes de La Plata,1,2,,,,,,,,,,,,,,,17.075,37.65,V
Campeonato 2015,11,Racing Club,Independiente,1,0,,,,,,,,,,,,,,,29.075,33.525,L
Campeonato 2015,12,Argentinos Juniors,Newells,2,1,,,,,,,,,,,,,,,12.05,32.67,L
Campeonato 2015,13,Boca Juniors,Aldosivi,0,3,,,,,,,,,,,,,,,80.925,8.725,V
Campeonato 2015,14,Godoy Cruz,Belgrano,1,0,,,,,,,,,,,,,,,21.2,13.975,L
Campeonato 2015,15,Tigre,River Plate,0,0,,,,,,,,,,,,,,,18.5,56.25,E
Campeonato 2015,1,Quilmes,San Lorenzo de Almagro,1,2,,,,,,,,,,,,,,,16.975,39.725,V
Campeonato 2015,2,Nueva Chicago,Temperley,0,2,,,,,,,,,,,,,,,8.15,5.3,V
Campeonato 2015,3,Sarmiento,Argentinos Juniors,0,0,,,,,,,,,,,,,,,8.975,12.05,E
Campeonato 2015,4,Belgrano,Gimnasia y Esgrima La Plata,0,1,,,,,,,,,,,,,,,13.975,14.3,V
Campeonato 2015,5,Independiente,Tigre,1,0,,,,,,,,,,,,,,,33.525,18.5,L
Campeonato 2015,6,Newells,Banfield,1,1,,,,,,,,,,,,,,,32.67,22.925,E
Campeonato 2015,7,Union,Godoy Cruz,1,0,,,,,,,,,,,,,,,7.95,21.2,L
Campeonato 2015,8,San Martin (San Juan),Defensa y Justicia,2,2,,,,,,,,,,,,,,,11.25,12.05,E
Campeonato 2015,9,Aldosivi,Racing Club,1,2,,,,,,,,,,,,,,,8.725,29.075,V
Campeonato 2015,10,River Plate,Rosario Central,2,0,,,,,,,,,,,,,,,56.25,18.35,L
Campeonato 2015,11,Estudiantes de La Plata,Colon,0,0,,,,,,,,,,,,,,,37.65,12.125,E
Campeonato 2015,12,Velez Sarsfield,Boca Juniors,2,0,,,,,,,,,,,,,,,28.5,80.925,L
Campeonato 2015,13,Arsenal de Sarandi,Crucero del Norte,1,0,,,,,,,,,,,,,,,27.25,4.4,L
Campeonato 2015,14,Huracan,Atletico de Rafaela,3,2,,,,,,,,,,,,,,,13.775,17.075,L
Campeonato 2015,15,Lanus,Olimpo,2,0,,,,,,,,,,,,,,,30.62,12.97,L
Campeonato 2015,1,Gimnasia y Esgrima La Plata,Union,5,2,,,,,,,,,,,,,,,14.3,7.95,L
Campeonato 2015,2,Banfield,Sarmiento,0,0,,,,,,,,,,,,,,,22.925,8.975,E
Campeonato 2015,3,Argentinos Juniors,Quilmes,0,2,,,,,,,,,,,,,,,12.05,16.975,V
Campeonato 2015,4,Colon,Huracan,1,1,,,,,,,,,,,,,,,12.125,13.775,E
Campeonato 2015,5,Temperley,Lanus,1,1,,,,,,,,,,,,,,,5.3,30.62,E
Campeonato 2015,6,San Lorenzo de Almagro,Belgrano,0,0,,,,,,,,,,,,,,,39.725,13.975,E
Campeonato 2015,7,Crucero del Norte,San Martin (San Juan),3,1,,,,,,,,,,,,,,,4.4,11.25,L
Campeonato 2015,8,Rosario Central,Independiente,1,1,,,,,,,,,,,,,,,18.35,33.525,E
Campeonato 2015,9,Atletico de Rafaela,Nueva Chicago,2,0,,,,,,,,,,,,,,,17.075,8.15,L
Campeonato 2015,10,Racing Club,Velez Sarsfield,3,1,,,,,,,,,,,,,,,29.075,28.5,L
Campeonato 2015,11,Boca Juniors,Newells,4,0,,,,,,,,,,,,,,,80.925,32.67,L
Campeonato 2015,12,Godoy Cruz,Arsenal de Sarandi,0,0,,,,,,,,,,,,,,,21.2,27.25,E
Campeonato 2015,13,Olimpo,River Plate,1,1,,,,,,,,,,,,,,,12.97,56.25,E
Campeonato 2015,14,Tigre,Aldosivi,2,1,,,,,,,,,,,,,,,18.5,8.725,L
Campeonato 2015,15,Defensa y Justicia,Estudiantes de La Plata,0,1,,,,,,,,,,,,,,,12.05,37.65,V
Campeonato 2015,1,Arsenal de Sarandi,Gimnasia y Esgrima La Plata,0,1,,,,,,,,,,,,,,,27.25,14.3,V
Campeonato 2015,2,Estudiantes de La Plata,San Martin (San Juan),0,0,,,,,,,,,,,,,,,37.65,11.25,E
Campeonato 2015,3,Belgrano,Argentinos Juniors,2,1,,,,,,,,,,,,,,,13.975,12.05,L
Campeonato 2015,4,River Plate,Temperley,1,1,,,,,,,,,,,,,,,56.25,5.3,E
Campeonato 2015,5,Union,San Lorenzo de Almagro,1,1,,,,,,,,,,,,,,,7.95,39.725,E
Campeonato 2015,6,Quilmes,Banfield,0,1,,,,,,,,,,,,,,,16.975,22.925,V
Campeonato 2015,7,Huracan,Defensa y Justicia,0,0,,,,,,,,,,,,,,,13.775,12.05,E
Campeonato 2015,8,Lanus,Atletico de Rafaela,3,0,,,,,,,,,,,,,,,30.62,17.075,L
Campeonato 2015,9,Nueva Chicago,Colon,0,0,,,,,,,,,,,,,,,8.15,12.125,E
Campeonato 2015,10,Independiente,Olimpo,3,1,,,,,,,,,,,,,,,33.525,12.97,L
Campeonato 2015,11,Newells,Racing Club,3,0,,,,,,,,,,,,,,,32.67,29.075,L
Campeonato 2015,12,Godoy Cruz,Crucero del Norte,3,0,,,,,,,,,,,,,,,21.2,4.4,L
Campeonato 2015,13,Sarmiento,Boca Juniors,0,1,,,,,,,,,,,,,,,8.975,80.925,V
Campeonato 2015,14,Aldosivi,Rosario Central,1,3,,,,,,,,,,,,,,,8.725,18.35,V
Campeonato 2015,15,Velez Sarsfield,Tigre,2,2,,,,,,,,,,,,,,,28.5,18.5,E
Campeonato 2015,1,San Lorenzo de Almagro,Arsenal de Sarandi,3,0,,,,,,,,,,,,,,,39.725,27.25,L
Campeonato 2015,2,Banfield,Belgrano,1,2,,,,,,,,,,,,,,,22.925,13.975,V
Campeonato 2015,3,Olimpo,Aldosivi,3,1,,,,,,,,,,,,,,,12.97,8.725,L
Campeonato 2015,4,Boca Juniors,Quilmes,2,1,,,,,,,,,,,,,,,80.925,16.975,L
Campeonato 2015,5,Defensa y Justicia,Nueva Chicago,2,1,,,,,,,,,,,,,,,12.05,8.15,L
Campeonato 2015,6,Atletico de Rafaela,River Plate,1,5,,,,,,,,,,,,,,,17.075,56.25,V
Campeonato 2015,7,Racing Club,Sarmiento,2,1,,,,,,,,,,,,,,,29.075,8.975,L
Campeonato 2015,8,Colon,Lanus,1,2,,,,,,,,,,,,,,,12.125,30.62,V
Campeonato 2015,9,Tigre,Newells,0,0,,,,,,,,,,,,,,,18.5,32.67,E
Campeonato 2015,10,San Martin (San Juan),Huracan,3,2,,,,,,,,,,,,,,,11.25,13.775,L
Campeonato 2015,11,Rosario Central,Velez Sarsfield,0,0,,,,,,,,,,,,,,,18.35,28.5,E
Campeonato 2015,12,Temperley,Independiente,0,1,,,,,,,,,,,,,,,5.3,33.525,V
Campeonato 2015,13,Gimnasia y Esgrima La Plata,Godoy Cruz,2,0,,,,,,,,,,,,,,,14.3,21.2,L
Campeonato 2015,14,Crucero del Norte,Estudiantes de La Plata,1,2,,,,,,,,,,,,,,,4.4,37.65,V
Campeonato 2015,15,Argentinos Juniors,Union,1,2,,,,,,,,,,,,,,,12.05,7.95,V
Campeonato 2015,1,Aldosivi,Temperley,0,0,,,,,,,,,,,,,,,8.725,5.3,E
Campeonato 2015,2,Gimnasia y Esgrima La Plata,Crucero del Norte,2,1,,,,,,,,,,,,,,,14.3,4.4,L
Campeonato 2015,3,Sarmiento,Tigre,0,1,,,,,,,,,,,,,,,8.975,18.5,V
Campeonato 2015,4,River Plate,Colon,3,1,,,,,,,,,,,,,,,56.25,12.125,L
Campeonato 2015,5,Union,Banfield,0,0,,,,,,,,,,,,,,,7.95,22.925,E
Campeonato 2015,6,Independiente,Atletico de Rafaela,2,0,,,,,,,,,,,,,,,33.525,17.075,L
Campeonato 2015,7,Velez Sarsfield,Olimpo,0,2,,,,,,,,,,,,,,,28.5,12.97,V
Campeonato 2015,8,Godoy Cruz,San Lorenzo de Almagro,1,1,,,,,,,,,,,,,,,21.2,39.725,E
Campeonato 2015,9,Newells,Rosario Central,0,1,,,,,,,,,,,,,,,32.67,18.35,V
Campeonato 2015,10,Quilmes,Racing Club,2,1,,,,,,,,,,,,,,,16.975,29.075,L
Campeonato 2015,11,Huracan,Estudiantes de La Plata,1,0,,,,,,,,,,,,,,,13.775,37.65,L
Campeonato 2015,12,Lanus,Defensa y Justicia,0,1,,,,,,,,,,,,,,,30.62,12.05,V
Campeonato 2015,13,Belgrano,Boca Juniors,0,1,,,,,,,,,,,,,,,13.975,80.925,V
Campeonato 2015,14,Nueva Chicago,San Martin (San Juan),0,0,,,,,,,,,,,,,,,8.15,11.25,E
Campeonato 2015,15,Arsenal de Sarandi,Argentinos Juniors,3,2,,,,,,,,,,,,,,,27.25,12.05,L
Campeonato 2015,1,Atletico de Rafaela,Aldosivi,2,1,,,,,,,,,,,,,,,17.075,8.725,L
Campeonato 2015,2,Temperley,Velez Sarsfield,2,1,,,,,,,,,,,,,,,5.3,28.5,L
Campeonato 2015,3,Argentinos Juniors,Godoy Cruz,0,0,,,,,,,,,,,,,,,12.05,21.2,E
Campeonato 2015,4,Estudiantes de La Plata,Nueva Chicago,1,0,,,,,,,,,,,,,,,37.65,8.15,L
Campeonato 2015,5,San Lorenzo de Almagro,Gimnasia y Esgrima La Plata,1,0,,,,,,,,,,,,,,,39.725,14.3,L
Campeonato 2015,6,Colon,Independiente,0,1,,,,,,,,,,,,,,,12.125,33.525,V
Campeonato 2015,7,Rosario Central,Sarmiento,1,1,,,,,,,,,,,,,,,18.35,8.975,E
Campeonato 2015,8,Olimpo,Newells,2,0,,,,,,,,,,,,,,,12.97,32.67,L
Campeonato 2015,9,Racing Club,Belgrano,0,0,,,,,,,,,,,,,,,29.075,13.975,E
Campeonato 2015,10,Crucero del Norte,Huracan,3,3,,,,,,,,,,,,,,,4.4,13.775,E
Campeonato 2015,11,Boca Juniors,Union,3,4,,,,,,,,,,,,,,,80.925,7.95,V
Campeonato 2015,12,Tigre,Quilmes,0,1,,,,,,,,,,,,,,,18.5,16.975,V
Campeonato 2015,13,Banfield,Arsenal de Sarandi,4,1,,,,,,,,,,,,,,,22.925,27.25,L
Campeonato 2015,14,San Martin (San Juan),Lanus,1,1,,,,,,,,,,,,,,,11.25,30.62,E
Campeonato 2015,15,Defensa y Justicia,River Plate,1,0,,,,,,,,,,,,,,,12.05,56.25,L
Campeonato 2015,1,Sarmiento,Olimpo,0,0,,,,,,,,,,,,,,,8.975,12.97,E
Campeonato 2015,2,Belgrano,Tigre,1,0,,,,,,,,,,,,,,,13.975,18.5,L
Campeonato 2015,3,Independiente,Defensa y Justicia,1,0,,,,,,,,,,,,,,,33.525,12.05,L
Campeonato 2015,4,Nueva Chicago,Huracan,3,0,,,,,,,,,,,,,,,8.15,13.775,L
Campeonato 2015,5,Godoy Cruz,Banfield,1,2,,,,,,,,,,,,,,,21.2,22.925,V
Campeonato 2015,6,Aldosivi,Colon,1,1,,,,,,,,,,,,,,,8.725,12.125,E
Campeonato 2015,7,Union,Racing Club,1,2,,,,,,,,,,,,,,,7.95,29.075,V
Campeonato 2015,8,Lanus,Estudiantes de La Plata,0,0,,,,,,,,,,,,,,,30.62,37.65,E
Campeonato 2015,9,Gimnasia y Esgrima La Plata,Argentinos Juniors,4,2,,,,,,,,,,,,,,,14.3,12.05,L
Campeonato 2015,10,San Lorenzo de Almagro,Crucero del Norte,2,1,,,,,,,,,,,,,,,39.725,4.4,L
Campeonato 2015,11,Velez Sarsfield,Atletico de Rafaela,2,2,,,,,,,,,,,,,,,28.5,17.075,E
Campeonato 2015,12,Newells,Temperley,0,0,,,,,,,,,,,,,,,32.67,5.3,E
Campeonato 2015,13,Arsenal de Sarandi,Boca Juniors,1,2,,,,,,,,,,,,,,,27.25,80.925,V
Campeonato 2015,14,River Plate,San Martin (San Juan),0,1,,,,,,,,,,,,,,,56.25,11.25,V
Campeonato 2015,15,Quilmes,Rosario Central,3,1,,,,,,,,,,,,,,,16.975,18.35,L
Campeonato 2015,1,Atletico de Rafaela,Newells,1,1,,,,,,,,,,,,,,,17.075,32.67,E
Campeonato 2015,2,Banfield,Gimnasia y Esgrima La Plata,1,0,,,,,,,,,,,,,,,22.925,14.3,L
Campeonato 2015,3,Olimpo,Quilmes,0,1,,,,,,,,,,,,,,,12.97,16.975,V
Campeonato 2015,4,Racing Club,Arsenal de Sarandi,2,1,,,,,,,,,,,,,,,29.075,27.25,L
Campeonato 2015,5,Colon,Velez Sarsfield,0,0,,,,,,,,,,,,,,,12.125,28.5,E
Campeonato 2015,6,San Martin (San Juan),Independiente,1,1,,,,,,,,,,,,,,,11.25,33.525,E
Campeonato 2015,7,Argentinos Juniors,San Lorenzo de Almagro,2,3,,,,,,,,,,,,,,,12.05,39.725,V
Campeonato 2015,8,Crucero del Norte,Nueva Chicago,0,1,,,,,,,,,,,,,,,4.4,8.15,V
Campeonato 2015,9,Rosario Central,Belgrano,3,1,,,,,,,,,,,,,,,18.35,13.975,L
Campeonato 2015,10,Huracan,Lanus,0,0,,,,,,,,,,,,,,,13.775,30.62,E
Campeonato 2015,11,Tigre,Union,2,1,,,,,,,,,,,,,,,18.5,7.95,L
Campeonato 2015,12,Boca Juniors,Godoy Cruz,2,0,,,,,,,,,,,,,,,80.925,21.2,L
Campeonato 2015,13,Estudiantes de La Plata,River Plate,2,1,,,,,,,,,,,,,,,37.65,56.25,L
Campeonato 2015,14,Defensa y Justicia,Aldosivi,4,0,,,,,,,,,,,,,,,12.05,8.725,L
Campeonato 2015,15,Temperley,Sarmiento,0,0,,,,,,,,,,,,,,,5.3,8.975,E
Campeonato 2015,1,Argentinos Juniors,Crucero del Norte,4,0,,,,,,,,,,,,,,,12.05,4.4,L
Campeonato 2015,2,Quilmes,Temperley,0,0,,,,,,,,,,,,,,,16.975,5.3,E
Campeonato 2015,3,Aldosivi,San Martin (San Juan),2,0,,,,,,,,,,,,,,,8.725,11.25,L
Campeonato 2015,4,Gimnasia y Esgrima La Plata,Boca Juniors,1,2,,,,,,,,,,,,,,,14.3,80.925,V
Campeonato 2015,5,Velez Sarsfield,Defensa y Justicia,2,1,,,,,,,,,,,,,,,28.5,12.05,L
Campeonato 2015,6,Newells,Colon,0,1,,,,,,,,,,,,,,,32.67,12.125,V
Campeonato 2015,7,Arsenal de Sarandi,Tigre,2,0,,,,,,,,,,,,,,,27.25,18.5,L
Campeonato 2015,8,San Lorenzo de Almagro,Banfield,0,0,,,,,,,,,,,,,,,39.725,22.925,E
Campeonato 2015,9,Sarmiento,Atletico de Rafaela,0,1,,,,,,,,,,,,,,,8.975,17.075,V
Campeonato 2015,10,River Plate,Huracan,1,1,,,,,,,,,,,,,,,56.25,13.775,E
Campeonato 2015,11,Union,Rosario Central,0,1,,,,,,,,,,,,,,,7.95,18.35,V
Campeonato 2015,12,Independiente,Estudiantes de La Plata,1,1,,,,,,,,,,,,,,,33.525,37.65,E
Campeonato 2015,13,Belgrano,Olimpo,0,0,,,,,,,,,,,,,,,13.975,12.97,E
Campeonato 2015,14,Lanus,Nueva Chicago,1,0,,,,,,,,,,,,,,,30.62,8.15,L
Campeonato 2015,15,Godoy Cruz,Racing Club,1,2,,,,,,,,,,,,,,,21.2,29.075,V
Campeonato 2015,1,Tigre,Godoy Cruz,2,1,,,,,,,,,,,,,,,18.5,21.2,L
Campeonato 2015,2,Banfield,Argentinos Juniors,1,1,,,,,,,,,,,,,,,22.925,12.05,E
Campeonato 2015,3,Crucero del Norte,Lanus,1,3,,,,,,,,,,,,,,,4.4,30.62,V
Campeonato 2015,4,Rosario Central,Arsenal de Sarandi,1,0,,,,,,,,,,,,,,,18.35,27.25,L
Campeonato 2015,5,Colon,Sarmiento,0,1,,,,,,,,,,,,,,,12.125,8.975,V
Campeonato 2015,6,Huracan,Independiente,1,1,,,,,,,,,,,,,,,13.775,33.525,E
Campeonato 2015,7,Defensa y Justicia,Newells,1,0,,,,,,,,,,,,,,,12.05,32.67,L
Campeonato 2015,8,Temperley,Belgrano,2,1,,,,,,,,,,,,,,,5.3,13.975,L
Campeonato 2015,9,Nueva Chicago,River Plate,1,4,,,,,,,,,,,,,,,8.15,56.25,V
Campeonato 2015,10,San Martin (San Juan),Velez Sarsfield,3,1,,,,,,,,,,,,,,,11.25,28.5,L
Campeonato 2015,11,Boca Juniors,San Lorenzo de Almagro,0,1,,,,,,,,,,,,,,,80.925,39.725,V
