Temporada,Date,Home,Away,Goles_Local,Goles_Visitante,Resultado_Texto,Resultado_Num,Attendance,Venue,Referee
2018,2018-10-28,Velez Sarsfield,Belgrano,1.0,0.0,Victoria,1.0,0.0,Estadio José Amalfitani,Pablo Dóvalo
2018,2018-10-28,Banfield,EstudiantesLP,0.0,2.0,Derrota,-1.0,0.0,Estadio Florencio Solá,Silvio Trucco
2018,2018-10-28,Atle Tucuman,Independiente,4.0,2.0,Victoria,1.0,0.0,Estadio Monumental Presidente José Fierr...,Patricio Loustau
2018,2018-10-29,Newell's Old Boys,Argentinos Juniors,2.0,0.0,Victoria,1.0,0.0,Estadio Marcelo Alberto Bielsa,Fabricio Llobet
2018,2018-10-29,San Martin SJ,Defensa y Justicia,0.0,1.0,Derrota,-1.0,0.0,Estadio Ingeniero Hilario Sánchez,Pablo Echavarría
2018,2018-11-02,Belgrano,GimnasiaLP,2.0,0.0,Victoria,1.0,0.0,Estadio Julio César Villagra,Facundo Tello
2018,2018-11-03,Aldosivi,Banfield,1.0,4.0,Derrota,-1.0,0.0,Estadio José María Minella,Diego Abal
2018,2018-11-03,Godoy Cruz,Atle Tucuman,1.0,0.0,Victoria,1.0,0.0,Estadio Malvinas Argentinas,Pablo Echavarría
2018,2018-11-03,EstudiantesLP,River Plate,1.0,0.0,Victoria,1.0,0.0,Estadio Ciudad de La Plata,Fernando Echenique
2018,2018-11-03,Boca Juniors,Tigre,4.0,1.0,Victoria,1.0,0.0,Estadio Alberto José Armando,Germán Delfino
2018,2018-11-02,Union,Patronato,2.0,2.0,Empate,0.0,0.0,Estadio 15 de Abril,Darío Herrera
2018,2018-11-04,Argentinos Juniors,Independiente,0.0,2.0,Derrota,-1.0,0.0,Estadio Diego Armando Maradona,Hernán Mastrángelo
2018,2018-11-04,Rosario Central,Colon,1.0,1.0,Empate,0.0,0.0,Estadio Dr. Lisandro de la Torre,Fernando Rapallini
2018,2018-11-04,San Lorenzo de Almagro,TalleresC,0.0,1.0,Derrota,-1.0,0.0,Estadio Pedro Bidegaín,Jorge Baliño
2018,2018-11-04,Racing Club,Newell's Old Boys,1.0,0.0,Victoria,1.0,0.0,Estadio Presidente Juan Domingo Perón,Silvio Trucco
2018,2018-11-04,San Martin (Tucuman),San Martin SJ,2.0,0.0,Victoria,1.0,0.0,Estadio Eva Perón de San Miguel de Tucum...,Julio Barraza
2018,2018-11-05,Defensa y Justicia,Velez Sarsfield,3.0,2.0,Victoria,1.0,0.0,Estadio Norberto Tito Tomaghello,Ariel Penel
2018,2018-11-05,Lanus,Huracan,0.0,1.0,Derrota,-1.0,0.0,Estadio Ciudad de Lanús,Nicolás Lamolina
2018,2018-11-07,Independiente,San Martin (Tucuman),4.0,0.0,Victoria,1.0,0.0,Estadio Libertadores de América,Facundo Tello
2018,2018-11-09,TalleresC,Aldosivi,0.0,0.0,Empate,0.0,0.0,Estadio Mario Alberto Kempes,Fernando Rapallini
2018,2018-11-10,Colon,EstudiantesLP,1.0,1.0,Empate,0.0,0.0,Estadio Brigadier General Estanislao Lóp...,Fernando Espinoza
2018,2018-11-09,Atle Tucuman,Rosario Central,2.0,1.0,Victoria,1.0,0.0,Estadio Monumental Presidente José Fierr...,Fernando Echenique
2018,2018-11-11,Independiente,Belgrano,2.0,1.0,Victoria,1.0,0.0,Estadio Libertadores de América,Germán Delfino
2018,2018-11-11,GimnasiaLP,Racing Club,0.0,3.0,Derrota,-1.0,0.0,Estadio Juan Carmelo Zerillo,Pablo Echavarría
2018,2018-11-11,Banfield,Lanus,0.0,0.0,Empate,0.0,0.0,Estadio Florencio Solá,Darío Herrera
2018,2018-11-12,Tigre,Argentinos Juniors,2.0,1.0,Victoria,1.0,0.0,Estadio José Dellagiovanna,Andrés Merlos
2018,2018-11-12,Newell's Old Boys,Defensa y Justicia,0.0,0.0,Empate,0.0,0.0,Estadio Marcelo Alberto Bielsa,Mauro Vigliano
2018,2018-11-12,Huracan,Godoy Cruz,2.0,1.0,Victoria,1.0,0.0,Estadio Tomás Adolfo Ducó,Silvio Trucco
2018,2018-11-12,Patronato,San Martin (Tucuman),3.0,3.0,Empate,0.0,0.0,Estadio Presbítero Bartolomé Grella,Fabricio Llobet
2018,2018-11-12,Velez Sarsfield,San Lorenzo de Almagro,0.0,0.0,Empate,0.0,0.0,Estadio José Amalfitani,Patricio Loustau
2018,2018-11-17,Boca Juniors,Patronato,1.0,0.0,Victoria,1.0,0.0,Estadio Alberto José Armando,Diego Abal
2018,2018-11-18,San Lorenzo de Almagro,Atle Tucuman,0.0,2.0,Derrota,-1.0,0.0,Estadio Pedro Bidegaín,Ariel Penel
2018,2018-11-18,Defensa y Justicia,EstudiantesLP,1.0,1.0,Empate,0.0,0.0,Estadio Norberto Tito Tomaghello,Pablo Dóvalo
2018,2018-11-21,GimnasiaLP,San Martin SJ,0.0,2.0,Derrota,-1.0,0.0,Estadio Juan Carmelo Zerillo,Ariel Penel
2018,2018-11-23,Belgrano,Atle Tucuman,1.0,3.0,Derrota,-1.0,0.0,Estadio Julio César Villagra,Mauro Vigliano
2018,2018-11-23,Argentinos Juniors,TalleresC,0.0,2.0,Derrota,-1.0,0.0,Estadio Diego Armando Maradona,Facundo Tello
